overall qual,overall cond,year built,year remod/add,exter qual,foundation,bsmt qual,bsmt exposure,bsmtfin type 1,bsmtfin sf 1,total bsmt sf,heating qc,central air,1st flr sf,gr liv area,garage yr blt,garage finish,garage cars,garage area,saleprice
8,5,2006,2006,1.0,1.0,1.0,-1.0,3.0,863,1324,2.0,1.0,1324,1324,2006,1.0,2,550,254000
7,5,2003,2003,1.0,1.0,1.0,-1.0,-2.0,0,1405,2.0,1.0,1405,1405,2003,0.0,2,478,173000
7,5,2005,2005,1.0,1.0,1.0,-1.0,-2.0,0,728,2.0,1.0,728,1456,2005,1.0,2,390,184000
6,5,2005,2006,1.0,1.0,1.0,1.0,-2.0,0,745,2.0,1.0,745,1490,2005,1.0,2,392,167800
6,5,2005,2005,1.0,1.0,1.0,-1.0,-2.0,0,742,2.0,1.0,742,1484,2005,1.0,2,390,174000
7,5,2005,2006,1.0,1.0,1.0,1.0,3.0,16,1220,2.0,1.0,1220,1220,2005,1.0,2,397,180000
7,5,2005,2006,1.0,1.0,1.0,-1.0,3.0,16,1145,2.0,1.0,1145,1145,2005,1.0,2,397,160200
7,5,2004,2005,1.0,1.0,1.0,-1.0,3.0,425,716,2.0,1.0,716,1432,2004,1.0,2,432,188500
7,5,2004,2005,1.0,1.0,1.0,0.0,-2.0,0,384,2.0,1.0,744,1374,2004,1.0,2,400,170000
8,5,2002,2002,1.0,1.0,1.0,-1.0,3.0,353,408,2.0,1.0,779,1419,2002,1.0,2,527,184100
7,5,2003,2003,1.0,1.0,1.0,-1.0,3.0,652,782,2.0,1.0,806,1489,2003,1.0,2,400,192000
7,5,2003,2003,1.0,1.0,1.0,-1.0,3.0,494,698,2.0,1.0,698,1342,2003,1.0,2,393,178000
7,5,2007,2008,1.0,1.0,1.0,-1.0,3.0,904,1314,2.0,1.0,1314,1314,2008,0.0,2,626,207500
7,5,2004,2004,1.0,1.0,1.0,0.0,3.0,241,384,2.0,1.0,744,1374,2004,1.0,2,400,167000
7,5,1999,2000,0.0,1.0,1.0,-1.0,-2.0,0,384,2.0,1.0,774,1430,1999,0.0,2,400,156000
7,6,1999,1999,0.0,1.0,0.0,-1.0,-2.0,0,384,2.0,1.0,774,1430,1999,1.0,2,410,168000
8,5,2006,2006,1.0,1.0,2.0,1.0,3.0,379,1422,2.0,1.0,1432,1432,2006,1.0,2,492,245000
7,5,2008,2008,1.0,1.0,1.0,-1.0,-2.0,0,1402,2.0,1.0,1402,1402,2008,0.0,2,625,229800
8,5,2006,2007,1.0,1.0,1.0,-1.0,3.0,24,1372,2.0,1.0,1448,1448,2006,0.0,2,692,238500
7,5,2004,2005,1.0,1.0,1.0,-1.0,3.0,410,1221,2.0,1.0,1221,1221,2004,0.0,2,400,185000
7,6,2007,2007,1.0,1.0,1.0,-1.0,-2.0,0,1218,2.0,1.0,1218,1218,2007,0.0,2,576,159000
7,5,2006,2006,1.0,1.0,1.0,-1.0,3.0,54,1141,2.0,1.0,1141,1141,2006,0.0,2,484,152000
6,5,2004,2004,0.0,1.0,1.0,-1.0,-2.0,0,1158,2.0,1.0,1158,1158,1842,-2.0,0,0,143500
7,5,2003,2003,1.0,1.0,1.0,-1.0,3.0,833,1176,2.0,1.0,1200,1200,2003,0.0,2,555,184900
7,5,2004,2005,1.0,1.0,1.0,-1.0,-2.0,0,1114,2.0,1.0,1114,1114,2005,-1.0,2,576,159000
5,5,2004,2004,0.0,1.0,1.0,-1.0,-2.0,0,1114,2.0,1.0,1114,1114,1842,-2.0,0,0,142000
5,5,2003,2004,0.0,1.0,1.0,-1.0,3.0,836,1114,2.0,1.0,1114,1114,2004,-1.0,2,576,153000
7,5,2001,2001,1.0,1.0,1.0,-1.0,3.0,20,1454,2.0,1.0,1434,1434,2001,0.0,2,527,189000
6,6,1980,1980,0.0,2.0,1.0,-1.0,-2.0,0,626,0.0,1.0,626,1217,1980,0.0,1,288,120000
6,5,1990,1991,1.0,1.0,1.0,-1.0,-2.0,0,1332,1.0,1.0,1332,1332,1990,0.0,2,542,145000
6,7,1986,1986,0.0,2.0,1.0,-1.0,0.0,331,676,0.0,1.0,698,1400,1986,0.0,2,465,162000
4,4,1950,1950,-1.0,2.0,0.0,-1.0,-2.0,0,721,1.0,1.0,841,841,1950,-1.0,1,294,82000
6,3,1928,1950,0.0,3.0,-1.0,-1.0,-2.0,0,784,0.0,-1.0,784,784,1950,-1.0,2,360,76000
5,5,1962,1962,0.0,2.0,0.0,-1.0,-1.0,68,980,1.0,1.0,980,980,1969,-1.0,2,400,110000
5,6,1977,1977,0.0,2.0,0.0,-1.0,1.0,560,980,0.0,1.0,980,980,1986,-1.0,2,484,135000
5,6,1961,1961,0.0,2.0,0.0,-1.0,3.0,660,864,2.0,1.0,864,864,1982,-1.0,2,732,141000
5,5,1961,1961,0.0,2.0,0.0,-1.0,1.0,864,864,0.0,1.0,864,864,1961,-1.0,1,440,122000
5,8,1963,1995,1.0,2.0,0.0,-1.0,2.0,624,912,2.0,1.0,912,912,1963,0.0,1,300,129000
5,6,1961,1983,0.0,2.0,0.0,-1.0,1.0,594,864,2.0,1.0,1144,1144,1961,0.0,1,264,131400
5,5,1965,1965,0.0,2.0,0.0,-1.0,0.0,553,864,1.0,1.0,864,864,1965,-1.0,1,360,62383
5,6,1962,1962,0.0,2.0,0.0,-1.0,-1.0,140,912,1.0,1.0,912,912,1962,-1.0,1,252,123000
6,5,2008,2008,1.0,1.0,1.0,-1.0,3.0,962,1145,2.0,1.0,1256,1256,2008,1.0,2,641,195000
6,5,1999,1999,0.0,1.0,1.0,-1.0,3.0,381,729,1.0,1.0,742,1471,1999,-1.0,2,440,172500
7,5,1999,1999,1.0,1.0,1.0,-1.0,3.0,549,691,2.0,1.0,713,1452,1999,-1.0,2,506,156000
8,5,1981,1981,1.0,2.0,1.0,2.0,3.0,960,1226,0.0,1.0,1226,1226,1981,1.0,2,484,211500
6,6,1970,1970,0.0,2.0,0.0,-1.0,-2.0,0,1442,0.0,1.0,1442,1442,1970,0.0,2,615,185000
6,7,1968,1968,0.0,2.0,0.0,-1.0,-2.0,0,1489,1.0,1.0,1489,1489,1968,0.0,2,462,185750
6,6,1972,1972,0.0,2.0,0.0,-1.0,1.0,593,723,0.0,1.0,735,1395,1972,-1.0,2,497,162000
5,5,1969,1969,0.0,2.0,1.0,0.0,2.0,553,1288,0.0,1.0,1336,1336,1969,0.0,2,502,163000
6,5,1977,1977,0.0,2.0,1.0,-1.0,2.0,686,1350,0.0,1.0,1334,1334,1977,0.0,2,630,167900
5,6,1967,1967,0.0,1.0,0.0,-1.0,1.0,648,864,0.0,1.0,864,864,1967,1.0,1,312,130000
5,6,1965,1965,0.0,2.0,0.0,-1.0,1.0,338,925,2.0,1.0,925,925,1965,-1.0,1,429,117500
6,5,1971,1971,0.0,2.0,1.0,1.0,3.0,962,1232,-1.0,1.0,1320,1320,1971,0.0,2,495,172500
6,5,1967,1967,0.0,2.0,0.0,-1.0,0.0,251,1372,0.0,1.0,1342,1342,1967,-1.0,2,457,161500
4,7,1960,1960,0.0,2.0,0.0,-1.0,2.0,734,894,1.0,1.0,894,894,1988,-1.0,2,396,141500
5,7,1959,1959,0.0,2.0,0.0,-1.0,1.0,403,864,2.0,1.0,864,864,1960,-1.0,1,308,118000
6,6,1959,1959,0.0,2.0,0.0,-1.0,0.0,612,864,2.0,1.0,864,864,2008,-1.0,1,300,127500
4,5,1957,1957,0.0,2.0,0.0,-1.0,1.0,775,1040,0.0,1.0,1362,1362,1982,0.0,3,768,140000
5,6,1961,1995,0.0,2.0,0.0,-1.0,2.0,310,1313,0.0,1.0,1313,1313,1961,0.0,2,610,153000
5,6,1966,1966,0.0,2.0,0.0,0.0,1.0,740,1154,2.0,1.0,1154,1154,1966,0.0,2,480,154000
6,6,1964,1964,0.0,2.0,0.0,2.0,0.0,564,1127,0.0,1.0,1445,1445,1964,0.0,2,645,158000
5,6,1959,1959,0.0,2.0,0.0,-1.0,2.0,991,1041,2.0,1.0,1041,1041,1959,0.0,1,270,124500
5,5,1955,1955,0.0,2.0,0.0,-1.0,0.0,100,960,1.0,1.0,960,960,1955,0.0,1,330,122000
4,7,1940,1950,-1.0,2.0,0.0,-1.0,-1.0,280,420,1.0,1.0,708,708,1842,-2.0,0,0,82500
5,4,1950,1950,0.0,2.0,0.0,-1.0,-1.0,185,709,0.0,1.0,979,1203,1950,-1.0,1,352,110000
5,6,1956,1956,0.0,2.0,0.0,-1.0,0.0,504,1050,1.0,1.0,1050,1050,1956,-1.0,1,338,128900
5,7,1950,2007,1.0,2.0,0.0,-1.0,2.0,607,1113,1.0,1.0,1113,1113,1950,-1.0,1,264,147000
6,6,1961,1961,0.0,2.0,0.0,-1.0,0.0,1312,1453,2.0,1.0,1453,1453,1961,0.0,2,530,187500
6,5,1963,1963,0.0,2.0,1.0,-1.0,1.0,609,1394,1.0,1.0,1394,1394,1963,0.0,2,514,159000
6,3,1968,1968,0.0,2.0,-1.0,-1.0,-2.0,0,1392,1.0,1.0,1392,1392,1968,0.0,2,576,110000
5,7,1956,1956,1.0,2.0,0.0,-1.0,2.0,856,1169,0.0,1.0,1144,1144,1956,0.0,1,286,150000
6,3,1957,1957,0.0,2.0,0.0,-1.0,2.0,189,1478,1.0,1.0,1478,1478,1957,0.0,2,442,156500
7,6,1960,1960,0.0,2.0,0.0,-1.0,1.0,544,1329,1.0,1.0,1329,1329,1960,-1.0,2,441,176000
6,8,1959,1998,1.0,2.0,0.0,-1.0,2.0,708,988,0.0,1.0,988,988,1959,-1.0,1,297,149500
6,7,1958,1998,0.0,2.0,0.0,-1.0,0.0,585,1215,0.0,1.0,1215,1215,1958,-1.0,1,297,155000
5,5,1955,1955,0.0,2.0,0.0,-1.0,0.0,172,1382,1.0,1.0,1382,1382,1955,-1.0,1,350,153000
6,5,1962,1962,0.0,2.0,0.0,2.0,0.0,672,1362,0.0,1.0,1382,1382,1991,-1.0,2,884,176000
5,6,1954,1990,0.0,2.0,0.0,-1.0,0.0,1213,1297,1.0,1.0,1297,1297,1954,1.0,2,498,153000
6,7,1954,1954,0.0,2.0,0.0,-1.0,2.0,490,1062,1.0,1.0,1062,1062,1954,-1.0,1,297,131000
5,6,1953,1953,0.0,1.0,0.0,-1.0,1.0,428,608,0.0,1.0,1319,1319,1953,-1.0,1,270,123000
5,5,1951,1951,0.0,2.0,0.0,-1.0,0.0,308,631,0.0,1.0,1112,1112,1951,-1.0,2,480,126000
4,5,1955,1955,0.0,2.0,0.0,-1.0,-2.0,0,1005,0.0,1.0,1005,1005,1977,-1.0,2,672,115000
5,7,1951,2000,1.0,2.0,0.0,-1.0,1.0,650,1008,2.0,1.0,1363,1363,1951,-1.0,1,288,164900
5,6,1945,1950,0.0,2.0,0.0,-1.0,1.0,700,793,0.0,1.0,793,793,1945,-1.0,1,240,113000
5,8,1952,2005,1.0,2.0,0.0,-1.0,3.0,931,1031,1.0,1.0,1031,1031,1952,-1.0,1,230,145500
5,5,1953,1953,0.0,0.0,-3.0,-2.0,-3.0,0,0,0.0,1.0,1210,1210,1953,1.0,1,616,102900
5,6,1950,1950,0.0,2.0,0.0,-1.0,1.0,390,1200,0.0,1.0,1200,1200,1950,1.0,1,246,129900
6,6,1948,2002,0.0,2.0,0.0,-1.0,2.0,680,972,2.0,1.0,972,972,1948,-1.0,1,240,132000
3,5,1958,1958,0.0,2.0,0.0,-1.0,-2.0,0,792,1.0,1.0,792,792,1958,-1.0,1,366,99900
5,7,1939,2006,0.0,3.0,0.0,-1.0,-2.0,0,676,2.0,1.0,676,1352,1939,-1.0,2,720,149000
4,8,1900,2003,1.0,3.0,-1.0,-1.0,-2.0,0,405,1.0,1.0,717,1039,1940,-1.0,1,281,114000
5,8,1924,2006,1.0,3.0,0.0,-1.0,-2.0,0,768,2.0,1.0,792,792,1924,-1.0,1,240,109500
5,7,1925,1950,0.0,3.0,0.0,-1.0,-2.0,0,1054,2.0,1.0,1078,1078,1987,-1.0,1,264,125000
2,5,1940,1950,-1.0,1.0,-1.0,-1.0,-2.0,0,416,1.0,-1.0,599,599,1842,-2.0,0,0,59000
4,6,1920,1950,-1.0,1.0,0.0,-1.0,2.0,315,840,2.0,1.0,840,1374,1967,1.0,1,338,105000
5,7,1920,1950,0.0,3.0,0.0,-1.0,-2.0,0,720,0.0,-1.0,846,846,1980,1.0,2,576,106000
3,5,1890,1998,0.0,3.0,0.0,-1.0,-2.0,0,630,0.0,1.0,725,725,1959,-1.0,1,320,78500
6,7,1963,1963,0.0,2.0,0.0,-1.0,0.0,384,1380,-1.0,1.0,1380,1380,1963,-1.0,1,364,154000
6,4,1967,1967,-1.0,2.0,0.0,-1.0,1.0,872,1040,1.0,1.0,1040,1040,1967,0.0,2,480,163000
6,9,1958,2007,1.0,2.0,0.0,0.0,3.0,745,951,1.0,1.0,951,951,1985,-1.0,2,480,143500
6,6,1957,1957,0.0,2.0,0.0,-1.0,0.0,546,1105,1.0,1.0,1105,1105,1957,-1.0,1,308,135000
5,7,1957,2000,0.0,2.0,0.0,0.0,1.0,860,992,0.0,1.0,1306,1306,1968,-1.0,1,756,153000
6,5,1960,1960,0.0,2.0,0.0,-1.0,1.0,1270,1478,2.0,1.0,1478,1478,1960,-1.0,2,498,157500
6,6,1958,1958,0.0,2.0,1.0,2.0,-2.0,0,160,-1.0,1.0,1142,1142,1958,0.0,1,384,113500
5,7,1949,1950,1.0,2.0,0.0,-1.0,0.0,375,832,1.0,1.0,1036,1268,1949,-1.0,1,288,133000
3,4,1950,1950,0.0,0.0,-3.0,-2.0,-3.0,0,0,-1.0,-1.0,1040,1040,1987,-1.0,2,400,92900
4,5,1949,1950,0.0,0.0,-3.0,-2.0,-3.0,0,0,-1.0,-1.0,1040,1040,1956,-1.0,2,420,90000
5,6,1958,1958,0.0,2.0,0.0,-1.0,-2.0,0,1041,1.0,1.0,1041,1041,1958,0.0,1,294,128000
5,7,1952,1952,0.0,2.0,0.0,-1.0,2.0,630,732,0.0,1.0,732,732,1952,-1.0,1,240,118900
5,5,1959,1959,0.0,2.0,1.0,1.0,3.0,433,528,0.0,1.0,1183,1183,1959,0.0,1,288,138000
5,5,1959,1959,0.0,2.0,0.0,-1.0,1.0,1148,1148,0.0,1.0,1148,1148,1959,-1.0,1,672,132500
4,7,1949,1996,0.0,2.0,0.0,-1.0,-2.0,0,832,0.0,1.0,832,1461,1949,-1.0,1,384,133500
5,7,1978,1978,0.0,2.0,1.0,1.0,3.0,941,941,1.0,1.0,941,941,1978,-1.0,2,564,145000
6,6,1963,1963,0.0,2.0,0.0,-1.0,1.0,826,1045,0.0,1.0,1045,1045,1963,0.0,1,264,127000
5,5,1962,1962,0.0,2.0,0.0,-1.0,-2.0,0,894,1.0,-1.0,894,894,1962,-1.0,1,308,109500
6,8,1926,2004,0.0,2.0,0.0,-1.0,0.0,468,818,0.0,1.0,818,1224,1926,-1.0,1,210,115000
5,6,1910,1981,0.0,1.0,0.0,-1.0,-2.0,0,440,1.0,1.0,682,1230,1966,-1.0,2,440,110000
6,8,1935,1998,0.0,1.0,0.0,-1.0,-2.0,0,901,1.0,1.0,861,1378,1920,-1.0,1,162,128900
5,8,1910,2003,0.0,2.0,0.0,-1.0,-2.0,0,240,0.0,1.0,810,1306,1959,-1.0,2,472,130000
5,8,1910,2002,1.0,2.0,0.0,-1.0,-2.0,0,504,2.0,1.0,764,1464,1842,-2.0,0,0,129000
7,8,1946,1992,0.0,2.0,0.0,-1.0,-2.0,0,651,1.0,1.0,707,1389,1947,-1.0,1,240,135000
5,5,1910,1950,0.0,3.0,-1.0,-1.0,-2.0,0,801,1.0,-1.0,801,1447,1842,-2.0,0,0,103000
4,4,1953,1953,-1.0,2.0,-1.0,-1.0,-2.0,0,936,0.0,-1.0,936,936,1974,-1.0,2,576,93000
5,7,1950,1970,0.0,2.0,0.0,-1.0,1.0,384,768,0.0,1.0,768,1328,1950,-1.0,1,308,129500
5,4,1954,1954,0.0,2.0,0.0,-1.0,-2.0,0,811,0.0,1.0,811,1387,1954,-1.0,1,256,93000
4,6,1920,1950,0.0,3.0,-1.0,-1.0,-2.0,0,861,0.0,1.0,861,861,1920,-1.0,2,288,80000
2,4,1940,1950,0.0,3.0,-3.0,-2.0,-3.0,0,0,-1.0,-1.0,612,612,1965,-1.0,1,308,45000
5,8,1938,1996,0.0,3.0,-1.0,-1.0,-2.0,0,190,1.0,1.0,886,886,1938,-1.0,1,273,91300
5,8,1923,1950,1.0,1.0,-1.0,-1.0,-2.0,0,624,0.0,1.0,792,792,1963,-1.0,1,287,99500
5,7,1947,1950,0.0,2.0,0.0,-1.0,-1.0,312,720,0.0,1.0,720,1284,1948,-1.0,1,240,110000
6,7,1917,2007,0.0,3.0,0.0,-1.0,-2.0,0,624,2.0,1.0,664,1288,1917,-1.0,1,280,119000
4,3,1910,1950,0.0,3.0,0.0,-1.0,-2.0,0,624,2.0,1.0,816,816,1842,-2.0,0,0,58500
7,9,1920,1988,0.0,1.0,0.0,-1.0,2.0,624,650,2.0,1.0,832,1482,1930,-1.0,2,324,143000
5,4,1910,2006,0.0,3.0,0.0,-1.0,2.0,247,1022,0.0,-1.0,1022,1022,1956,-1.0,1,280,85000
6,6,1923,1950,0.0,3.0,0.0,-1.0,-2.0,0,1022,0.0,-1.0,1432,1432,1923,-1.0,1,216,149000
6,6,1916,1950,0.0,3.0,0.0,-1.0,-2.0,0,952,-1.0,-1.0,952,952,1916,-1.0,1,192,121000
4,6,1936,1950,0.0,3.0,0.0,-1.0,1.0,672,672,0.0,1.0,757,1324,1936,-1.0,1,240,128000
6,9,1937,2000,1.0,3.0,0.0,-1.0,-2.0,0,698,0.0,1.0,786,1176,1999,-1.0,2,624,134900
5,8,1925,1997,0.0,3.0,0.0,-1.0,-2.0,0,884,2.0,1.0,884,1348,1960,-1.0,1,216,117000
6,6,1939,1950,0.0,2.0,0.0,-1.0,-2.0,0,780,2.0,1.0,825,1412,1939,-1.0,1,280,132500
5,5,1924,1950,0.0,3.0,0.0,-1.0,0.0,220,468,1.0,1.0,822,1142,1924,1.0,1,320,93000
6,7,1926,2004,1.0,1.0,0.0,-1.0,-2.0,0,884,1.0,1.0,904,904,1926,-1.0,1,180,119000
5,5,1924,1950,0.0,1.0,0.0,0.0,-1.0,405,1145,0.0,1.0,1301,1301,1965,-1.0,2,440,100000
2,3,1936,1950,-1.0,3.0,0.0,-1.0,-2.0,0,264,-1.0,-1.0,800,800,1842,-2.0,0,0,60000
5,7,1931,1993,0.0,3.0,0.0,-1.0,1.0,209,715,0.0,1.0,875,875,1931,-1.0,1,180,105000
5,5,1925,1950,0.0,3.0,0.0,-1.0,-1.0,134,1072,0.0,1.0,1072,1072,1982,-1.0,5,1184,126500
4,5,1925,1950,0.0,2.0,0.0,-1.0,1.0,152,780,0.0,1.0,848,1208,1962,-1.0,2,539,103000
6,7,1915,2002,0.0,3.0,0.0,-1.0,-2.0,0,483,2.0,1.0,741,1427,1915,-1.0,1,379,123000
6,7,1915,1965,0.0,2.0,0.0,-1.0,0.0,276,698,2.0,1.0,754,1403,1915,-1.0,1,308,116000
4,9,1946,2001,0.0,2.0,-1.0,-1.0,-2.0,0,560,2.0,1.0,704,704,1946,-1.0,1,220,88750
5,5,1978,1978,0.0,1.0,1.0,2.0,3.0,1152,1152,0.0,1.0,1152,1152,1960,-1.0,1,252,159900
1,1,1922,1950,-1.0,3.0,-1.0,2.0,1.0,350,683,1.0,-1.0,904,904,1842,-2.0,0,0,61000
6,6,1925,1950,0.0,3.0,0.0,-1.0,1.0,551,672,0.0,-1.0,697,1369,1930,-1.0,1,300,103600
5,3,1934,1950,0.0,1.0,0.0,-1.0,-2.0,0,585,0.0,-1.0,687,1112,1934,-1.0,1,226,63000
5,6,1963,1999,0.0,2.0,1.0,1.0,2.0,444,520,2.0,1.0,1464,1464,1997,0.0,2,480,175000
5,6,1963,1963,0.0,1.0,0.0,-1.0,0.0,651,1121,0.0,1.0,1121,1121,1963,-1.0,2,480,139000
5,7,1967,2004,0.0,1.0,0.0,-1.0,2.0,450,864,2.0,1.0,899,899,1967,1.0,1,288,130000
6,5,1978,1978,0.0,2.0,1.0,2.0,3.0,456,456,0.0,1.0,1034,1034,1978,1.0,2,504,149900
5,5,1982,1982,0.0,2.0,1.0,1.0,3.0,685,858,0.0,1.0,858,858,1983,-1.0,2,576,134900
5,6,1982,1982,0.0,2.0,0.0,1.0,2.0,672,840,0.0,1.0,860,860,1996,-1.0,2,528,137000
5,5,1962,1962,0.0,2.0,0.0,-1.0,-1.0,170,1092,0.0,1.0,1092,1092,1962,-1.0,1,288,139000
6,5,1960,1960,0.0,2.0,0.0,1.0,1.0,588,1138,2.0,1.0,1138,1138,1960,0.0,2,480,148000
2,2,1947,1950,0.0,0.0,-3.0,-2.0,-3.0,0,0,-1.0,-1.0,660,660,1842,-2.0,0,0,63900
4,6,1956,1956,0.0,2.0,0.0,-1.0,2.0,1059,1134,2.0,1.0,1229,1229,1956,0.0,1,284,135000
4,5,1940,1950,0.0,2.0,0.0,-1.0,1.0,262,861,2.0,1.0,861,861,1961,-1.0,2,539,82500
4,5,1954,1954,0.0,2.0,-3.0,-2.0,-3.0,0,0,0.0,1.0,1383,1383,1980,-1.0,2,498,122000
5,5,1956,1956,0.0,2.0,0.0,-1.0,0.0,257,1073,0.0,1.0,1073,1073,1956,-1.0,1,340,121500
4,6,1941,1950,0.0,2.0,0.0,-1.0,0.0,344,672,0.0,1.0,672,672,1941,-1.0,1,234,113000
5,6,1954,1954,0.0,2.0,1.0,-1.0,1.0,173,1089,0.0,1.0,1089,1089,1954,0.0,1,252,125000
4,3,1957,1957,0.0,0.0,-3.0,-2.0,-3.0,0,0,2.0,-1.0,845,845,1957,-1.0,1,290,84000
5,5,1984,1984,1.0,2.0,1.0,0.0,3.0,552,1049,0.0,1.0,1049,1049,1984,1.0,1,266,139500
6,5,1939,1950,0.0,3.0,0.0,0.0,0.0,204,560,0.0,1.0,698,1258,1939,-1.0,1,280,105000
7,6,1990,1991,1.0,1.0,1.0,-1.0,3.0,460,1054,1.0,1.0,1061,1061,1990,-1.0,2,462,162000
6,5,1983,1983,1.0,2.0,1.0,1.0,0.0,70,520,1.0,1.0,1338,1338,1983,-1.0,2,576,156500
8,5,2008,2008,1.0,1.0,1.0,1.0,-2.0,0,1468,2.0,1.0,1468,1468,2008,0.0,3,904,239900
7,5,2007,2007,1.0,1.0,1.0,1.0,3.0,902,1282,2.0,1.0,1290,1290,2007,0.0,2,662,200000
8,5,2008,2008,1.0,1.0,1.0,1.0,3.0,872,1254,2.0,1.0,1254,1254,2008,0.0,3,810,221800
7,5,2007,2007,1.0,1.0,1.0,1.0,3.0,724,1232,2.0,1.0,1232,1232,2007,0.0,2,632,194500
8,5,2005,2006,1.0,1.0,2.0,2.0,3.0,24,1498,2.0,1.0,1498,1498,2005,1.0,3,844,237000
6,5,2005,2006,1.0,1.0,1.0,1.0,-2.0,0,704,2.0,1.0,704,1422,2005,1.0,2,440,173000
5,5,1996,1996,0.0,1.0,1.0,-1.0,3.0,732,1040,1.0,1.0,1040,1040,2000,-1.0,2,576,152000
5,7,1994,1994,0.0,1.0,0.0,-1.0,2.0,755,990,2.0,1.0,990,990,1995,0.0,1,440,143000
7,5,1998,1998,0.0,1.0,1.0,0.0,3.0,950,1463,2.0,1.0,1463,1463,1998,1.0,2,539,207000
5,5,1994,1995,0.0,1.0,1.0,-1.0,-2.0,0,1097,2.0,1.0,1097,1097,1995,-1.0,2,672,145000
5,5,1994,1995,0.0,1.0,1.0,-1.0,2.0,746,990,2.0,1.0,990,990,2000,-1.0,2,480,138000
7,5,1999,1999,1.0,1.0,1.0,1.0,3.0,560,1431,2.0,1.0,1431,1431,1999,1.0,2,666,192000
7,5,2001,2002,1.0,1.0,1.0,-1.0,-2.0,0,1413,2.0,1.0,1430,1430,2001,0.0,2,605,187100
7,5,2002,2001,1.0,1.0,1.0,-1.0,3.0,1259,1431,2.0,1.0,1444,1444,2002,0.0,2,577,203000
5,5,1978,1978,0.0,2.0,1.0,-1.0,0.0,616,1040,0.0,1.0,1040,1040,1842,-2.0,0,0,124000
5,5,1978,1978,0.0,3.0,1.0,1.0,3.0,625,907,0.0,1.0,907,907,1978,-1.0,1,343,140000
5,7,1979,1979,0.0,2.0,0.0,-1.0,2.0,710,914,0.0,1.0,914,914,1979,-1.0,2,444,134900
5,7,1977,2008,0.0,2.0,1.0,0.0,-1.0,532,1040,0.0,1.0,1040,1040,1977,-1.0,2,484,150500
5,8,1978,2005,1.0,2.0,0.0,-1.0,2.0,646,864,2.0,1.0,864,864,1978,-1.0,1,336,136500
5,7,1977,1989,0.0,2.0,1.0,1.0,2.0,196,1268,0.0,1.0,1268,1268,1978,-1.0,1,252,143500
5,6,1972,1972,0.0,2.0,0.0,1.0,1.0,460,864,2.0,1.0,864,864,1972,-1.0,1,338,133500
5,5,1972,1972,0.0,2.0,0.0,1.0,0.0,777,894,0.0,1.0,894,894,1985,0.0,2,600,123000
5,8,1972,2003,0.0,2.0,1.0,1.0,3.0,660,768,1.0,1.0,768,768,1974,1.0,1,396,133900
5,7,1972,2007,0.0,2.0,1.0,1.0,3.0,656,768,0.0,1.0,768,768,1988,-1.0,2,396,133000
7,5,1997,1998,1.0,1.0,1.0,1.0,3.0,1111,1417,2.0,1.0,1417,1417,1997,-1.0,2,511,210000
7,5,2001,2001,1.0,1.0,1.0,-1.0,-2.0,0,1212,2.0,1.0,1212,1212,2001,0.0,2,573,178000
6,5,2003,2004,1.0,1.0,1.0,1.0,3.0,685,848,2.0,1.0,848,848,2003,1.0,2,420,144000
6,5,2003,2003,1.0,1.0,1.0,1.0,3.0,685,848,2.0,1.0,848,848,2003,1.0,2,420,140000
7,5,2004,2004,1.0,1.0,1.0,1.0,3.0,20,1500,2.0,1.0,1500,1500,2004,0.0,2,570,190000
6,5,2005,2005,1.0,1.0,1.0,-1.0,3.0,193,738,2.0,1.0,738,1476,2005,1.0,2,540,173500
6,5,2007,2007,1.0,1.0,1.0,-1.0,-2.0,0,608,2.0,1.0,608,1396,2007,1.0,2,440,170000
4,5,1949,2003,0.0,2.0,-3.0,-2.0,-3.0,0,0,2.0,1.0,1126,1126,2002,1.0,2,520,108000
5,7,1964,1999,0.0,1.0,0.0,-1.0,1.0,637,1486,2.0,1.0,1486,1486,1968,1.0,2,480,167000
4,6,1938,1958,0.0,2.0,0.0,0.0,2.0,690,816,2.0,1.0,816,816,1958,-1.0,1,288,100000
6,6,1977,1977,0.0,2.0,0.0,-1.0,1.0,535,690,0.0,1.0,698,1426,1977,1.0,2,440,159500
4,6,1960,1971,0.0,2.0,0.0,-1.0,3.0,399,1014,0.0,1.0,1149,1149,1968,1.0,1,544,127000
6,5,2005,2006,0.0,-2.0,1.0,2.0,3.0,547,547,1.0,1.0,1072,1072,2005,1.0,2,525,145500
5,9,1947,2008,0.0,2.0,0.0,-1.0,-2.0,0,698,2.0,1.0,698,698,1842,-2.0,0,0,118000
4,5,1959,1959,0.0,2.0,0.0,-1.0,-1.0,332,876,0.0,1.0,876,876,1959,-1.0,1,320,85000
5,5,1950,1950,0.0,2.0,-1.0,0.0,0.0,1078,1078,0.0,1.0,1368,1368,1950,0.0,1,195,120000
5,8,1922,1950,0.0,1.0,-1.0,-1.0,-2.0,0,864,2.0,1.0,864,864,1842,-2.0,0,0,99900
3,3,1952,1952,0.0,0.0,-3.0,-2.0,-3.0,0,0,-1.0,-1.0,944,944,1956,-1.0,2,528,82000
6,8,1920,2000,0.0,3.0,0.0,0.0,-2.0,0,684,1.0,1.0,684,1196,2005,-1.0,2,528,110000
5,6,1941,1950,0.0,2.0,0.0,-1.0,0.0,626,720,2.0,1.0,854,1298,1940,-1.0,1,256,122000
